"Chromosome"	"Start"	"End"	"Nclone"	"Array.129"	"Array.34"	"Array.67"	"Array.24"	"Array.22"	"Array.36"	"Array.49"	"Array.16"	"Array.146"	"Array.143"	"Array.65"	"Array.62"	"Array.4"	"Array.76"	"Array.118"	"Array.154"	"Array.48"	"Array.6"	"Array.39"	"Array.86"	"Array.112"	"Array.79"	"Array.124"	"Array.19"	"Array.27"	"Array.106"	"Array.110"	"Array.69"	"Array.73"	"Array.95"	"Array.98"	"Array.17"	"Array.33"	"Array.138"	"Array.149"	"Array.101"	"Array.90"	"Array.99"	"Array.57"	"Array.105"	"Array.85"	"Array.114"	"Array.56"	"Array.5"	"Array.8"	"Array.113"	"Array.148"	"Array.42"	"Array.25"	"Array.102"	"Array.55"	"Array.141"	"Array.43"	"Array.159"	"Array.52"	"Array.88"	"Array.125"	"Array.152"	"Array.50"	"Array.23"	"Array.68"	"Array.94"	"Array.153"	"Array.51"	"Array.142"	"Array.144"	"Array.37"	"Array.78"	"Array.18"	"Array.82"	"Array.75"	"Array.139"	"Array.2"	"Array.117"	"Array.60"	"Array.38"	"Array.72"	"Array.104"	"Array.137"	"Array.145"	"Array.31"	"Array.135"	"Array.111"	"Array.7"	"Array.21"	"Array.53"	"Array.59"	"Array.71"	"Array.47"	"Array.107"	"Array.64"	"Array.89"	"Array.30"	"Array.35"	"Array.93"	"Array.10"	"Array.123"	"Array.100"	"Array.134"	"Array.130"
2	47541529	48962866	132	1	0	0	0	0	0	0	0	0	1	-1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	-1	1	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	-1	1	0	0	0	0	0	0	1	0	0	0	0	0
2	50329312	56794730	510	1	0	0	-1	0	0	0	0	0	1	-1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	-1	1	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	-1	1	0	0	0	0	0	0	1	0	0	0	0	0
2	56853626	57106587	9	1	0	0	-1	0	0	0	0	0	1	-1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	-1	1	0	0	0	0	0	0	-1	0	0	-1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	-1	1	0	0	0	0	1	0	1	0	0	0	0	0
2	57141220	60843704	199	1	0	0	-1	0	0	0	0	0	1	-1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	-1	1	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	-1	0	0	0	1	0	0	-1	0	0	0	0	0	0	1	1	1	1	0	1	0	-1	1	0	0	0	0	1	0	1	0	0	0	0	0
2	60860846	61005290	14	1	0	0	-1	0	0	0	0	0	1	-1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	-1	1	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	-1	0	0	0	1	0	0	-1	0	0	0	0	0	0	1	1	1	1	0	1	0	-1	1	0	0	0	0	1	0	1	0	0	0	0	0
2	61025070	61061211	5	1	0	0	-1	0	0	0	0	0	-1	-1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	-1	0	0	1	-1	-1	1	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	1	-1	0	0	0	1	0	0	0	0	0	-1	0	1	0	-1	0	0	0	1	0	0	-1	0	0	0	0	0	0	1	1	1	1	0	1	0	-1	1	0	0	0	0	1	0	1	0	0	0	0	0
2	61069435	67262586	542	1	0	0	-1	0	0	0	0	0	1	-1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	-1	1	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	-1	0	0	0	1	0	0	-1	0	0	0	0	0	0	1	1	1	1	0	1	0	-1	1	0	0	0	0	1	0	1	0	0	0	0	0
2	67280403	69113514	151	0	0	0	-1	0	0	0	0	0	1	-1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	-1	1	0	0	0	0	0	0	-1	0	0	-1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	-1	0	0	0	1	0	0	-1	0	0	0	0	0	0	1	1	1	1	0	1	0	-1	1	0	0	0	0	1	0	1	0	0	0	0	0
2	69119613	73764874	471	0	0	0	0	0	0	0	0	0	1	-1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	-1	1	0	0	0	0	0	0	-1	0	0	-1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	-1	0	1	0	-1	0	0	0	1	0	0	-1	0	0	0	0	0	0	1	1	1	1	0	1	0	-1	1	0	0	0	0	1	0	1	0	0	0	0	0
2	73769146	74670974	128	0	0	0	0	0	0	0	0	0	1	-1	1	0	0	0	2	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	-1	0	1	0	-1	0	0	0	1	0	0	-1	0	0	0	0	0	0	1	1	1	1	0	1	0	-1	1	0	0	0	0	1	0	1	0	0	0	0	0
2	87287735	87839798	10	0	0	0	0	0	-1	0	0	0	1	-1	1	0	0	0	1	0	-1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	-1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	-1	1	0	0	0	0	1	0	1	0	0	0	0	0
5	60285997	62401952	135	-1	0	0	-1	0	0	-1	-1	0	-1	1	0	-1	-1	0	1	0	0	0	0	-1	1	0	-1	0	1	0	-1	0	1	1	-1	0	-1	-1	1	0	0	0	0	-1	0	0	-1	0	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	-1	-1	0	0	-1	0	1	0	0	-1	-1	0	-1	0	-1	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1
5	62457701	65999278	299	-1	0	0	-1	0	0	-1	-1	0	-1	1	0	-1	-1	0	1	0	0	0	0	-1	1	0	-1	0	1	0	-1	0	1	1	-1	0	-1	-1	1	0	0	0	0	-1	0	0	-1	0	0	0	0	-1	0	-1	0	0	-1	0	-1	0	-1	-1	-1	0	0	-1	0	1	0	0	-1	-1	0	-1	0	-1	0	0	-1	0	0	0	-1	0	0	0	1	0	0	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1
5	66011537	68773114	198	-1	0	0	-1	0	0	-1	-1	0	-1	1	0	-1	-1	0	1	0	0	0	0	-1	1	0	-1	0	1	0	-1	0	1	1	-1	0	-1	-1	1	0	0	0	0	-1	0	0	-1	0	0	0	0	-1	0	-1	0	0	-1	0	-1	0	-1	-1	-1	0	0	-1	0	1	0	0	-1	-1	0	-1	0	-1	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1
5	68785515	68850823	9	-1	0	0	-1	0	0	-1	-1	0	-1	0	1	-1	-1	0	0	0	0	0	0	-1	0	0	-1	0	1	0	-1	-1	1	1	-1	0	-1	-1	1	0	0	0	0	-1	0	0	-1	0	0	0	0	-1	0	-1	0	0	-1	0	-1	0	-1	-1	-1	0	0	-1	0	1	0	0	-1	-1	0	-1	0	-1	0	0	-1	0	0	0	-1	0	0	0	0	-1	0	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1
5	69274433	70345552	5	-1	0	0	-1	0	0	-1	-1	-1	-1	0	1	-1	-1	0	0	0	0	0	0	-1	0	1	-1	0	0	-1	-1	-1	1	1	-1	0	-1	-1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	0	0	0	-1	0	0	0	0	1	-1	0	-1	-1	-1	0	0	0	0	-1	0	0	-1	0	-1
